PROMPT,JAPANESE HAIKU,RUSSIAN TRANSLATION
Сочини хайку о детях,久米の子ら更衣の野を焼ける見ゆ,Дети Куме \смотрят на горящее поле — \смена одежды
Напиши хайку о посещении,庭さきの焼かれし芝を踏みて訪ふ,Сожжённую траву \в саду попираю — \иду в гости
Создай хайку о рассвете,しのゝめに小雨降出す焼野かな,На рассвете \заморосил дождь — \выжженное поле
Сочини хайку о наблюдении,川越て鳥の見てゐる焼野かな,"Перейдя реку, \птицы смотрят — \выжженное поле"
Напиши хайку о лесе,四方より攻めるが如く樹海焼く,"Со всех сторон, \словно атакуя, \пылает море деревьев"
Создай хайку о пламени,山焼く火檜原に来ればまのあたり,Огонь горного пожара — \достиг Хиновары \и вот он перед глазами
Сочини хайку о вечере,焼山の夕べ淋しや知らぬ鳥,Горящая гора — \и вечером одиноко \незнакомая птица
Напиши хайку о форме,焼山や嵩そのまゝに歯朶の容,Горящая гора — \и объём тот же \у листьев папоротника
Создай хайку о дожде,山焼やぽつり／ ＼と宵の雨,Горный пожар — \и редкие капли \ночного дождя
Сочини хайку о траве,暁の雨やすぐろの薄はら,На рассвете \дождь — и чёрная \полевая трава
Напиши хайку о ночи,焼山のぽち／＼はぜる夜もすがら,Горящая гора — \и треск искр \всю ночь напролёт
Создай хайку о матери,竿のものとりこむ母に遠山火,Мать собирает \бельё с шеста — \и дальний горный пожар
Сочини хайку о запахе,雨となる末黒芒に火の匂ひ,"Став дождём, \на почерневшую мискантус \ложится запах огня"
Напиши хайку о движении,歩み来し人麦踏をはじめけり,Человек пришёл \и начал утаптывать \ячмень
Создай хайку о цапле,ぬれ鶴やす黒の薄分けて行く,Мокрая цапля — \и чёрный мискантус \рассекает
Сочини хайку о луне,麦踏に足の湯とるや三日の月,"Утаптывая ячмень, \ногу в горячей воде отмачиваю — \луна третьей ночи"
Напиши хайку о облаках,赤き雲焼野のはてにあらはれぬ,Алые облака \являются \на краю выжженного поля
Создай хайку о выходе,麦踏の常の歩みに畑を出づ,"Утаптывая ячмень, \обычным шагом \покидаю поле"
Напиши хайку о ночной лодке,山焼の明りに下る夜舟かな,При свете горного пожара \спускается \ночная лодка
Создай хайку о родине,ひとたびは捨てたる故郷麦を踏む,Однажды покинул \родные края — \а теперь утаптываю ячмень
Сочини хайку о долголетии,櫟植う我に十年の寿あるべし,"Сажаю дуб — \и мне, наверное, \десять лет жизни прибавится"
Напиши хайку о стремлении,麦踏みのまたはるかなるものめざす,"Утаптывая ячмень, \стремлюсь к чему-то \бесконечно далёкому"
Создай хайку о старике,畚の物木の実を植うる翁かな,Старик сажает \в корзину \плоды деревьев
Сочини хайку о птицах,浅間嶺の雲に乗る鳥木の実植う,Птица летит \на облаках над Асама — \сажаю семена деревьев
Напиши хайку о ветре,猫柳風に光りて銀ねずみ,Верба пушистая \блестит на ветру — \серебристая мышь
Создай хайку о цветении,かたくりの花咲き雪はもう降らぬ,Цветёт кандык — \и снег уже \не идёт
Сочини хайку о воде,ときをりの水のささやき猫柳,Вода в колодце \шепчет — \и верба пушистая
Напиши хайку о солнце,猫柳日輪にふれ膨らめる,Верба пушистая \касается солнечного диска — \и набухает
Создай хайку о простоте,草の戸にふやけて咲くや猫柳,У ворот из трав \размокшая цветёт — \верба пушистая
Сочини хайку о цветке,かたくりは耳のうしろを見せる花,"Кандык — \цветок, показывающийся \из-за уха"
Напиши хайку о цветах,踏みて直ぐデージーの花起き上る,Наступил — \и сразу маргаритка \поднимается
Создай хайку о горах,猫柳高嶺は雪をあらたにす,Верба пушистая — \и на высоких пиках \снег обновляется
Сочини хайку о цветении,片栗の一つの花の花盛り,Один цветок кандыка — \и уже \пик цветения
Напиши хайку о малом,小さき鉢に取りて雛菊鮮かに,В маленькую вазу поставил — \и маргаритка \такая яркая
Создай хайку о стеблях,しをらしや細茎赤きはうれん草,Хрупкий \и с тонким красным стеблем — \шпинат
Сочини хайку о корнях,春菊や根分もせずに咲出る,"Весенние хризантемы — \и, не разделяя корней, \распускаются"
Напиши хайку о росе,デージーは星の雫に息づける,Маргаритки \дышат \звёздной росой
Создай хайку о возрасте,春菊や足袋に二重の皺が出来,Весенние хризантемы — \и на носках таби \двойные складки
Напиши хайку о ночной лодке,山焼の明りに下る夜舟かな,При свете горного пожара \спускается \ночная лодка
Создай хайку о родине,ひとたびは捨てたる故郷麦を踏む,Однажды покинул \родные края — \а теперь утаптываю ячмень
Сочини хайку о долголетии,櫟植う我に十年の寿あるべし,"Сажаю дуб — \и мне, наверное, \десять лет жизни прибавится"
Напиши хайку о стремлении,麦踏みのまたはるかなるものめざす,"Утаптывая ячмень, \стремлюсь к чему-то \бесконечно далёкому"
Создай хайку о старике,畚の物木の実を植うる翁かな,Старик сажает \в корзину \плоды деревьев
Сочини хайку о птицах,浅間嶺の雲に乗る鳥木の実植う,Птица летит \на облаках над Асама — \сажаю семена деревьев
Напиши хайку о ветре,猫柳風に光りて銀ねずみ,Верба пушистая \блестит на ветру — \серебристая мышь
Создай хайку о цветении,かたくりの花咲き雪はもう降らぬ,Цветёт кандык — \и снег уже \не идёт
Сочини хайку о воде,ときをりの水のささやき猫柳,Вода в колодце \шепчет — \и верба пушистая
Напиши хайку о солнце,猫柳日輪にふれ膨らめる,Верба пушистая \касается солнечного диска — \и набухает
Создай хайку о простоте,草の戸にふやけて咲くや猫柳,У ворот из трав \размокшая цветёт — \верба пушистая
Сочини хайку о цветке,かたくりは耳のうしろを見せる花,"Кандык — \цветок, показывающийся \из-за уха"
Напиши хайку о цветах,踏みて直ぐデージーの花起き上る,Наступил — \и сразу маргаритка \поднимается
Создай хайку о горах,猫柳高嶺は雪をあらたにす,Верба пушистая — \и на высоких пиках \снег обновляется
Сочини хайку о цветении,片栗の一つの花の花盛り,Один цветок кандыка — \и уже \пик цветения
Напиши хайку о малом,小さき鉢に取りて雛菊鮮かに,В маленькую вазу поставил — \и маргаритка \такая яркая
Создай хайку о стеблях,しをらしや細茎赤きはうれん草,Хрупкий \и с тонким красным стеблем — \шпинат
Сочини хайку о корнях,春菊や根分もせずに咲出る,"Весенние хризантемы — \и, не разделяя корней, \распускаются"
Напиши хайку о росе,デージーは星の雫に息づける,Маргаритки \дышат \звёздной росой
Создай хайку о возрасте,春菊や足袋に二重の皺が出来,Весенние хризантемы — \и на носках таби \двойные складки
Напиши хайку о памяти,春菊に身寄少なき忌日かな,Весенние хризантемы — \и в день поминовения \так мало родных
Создай хайку о растениях,蕗の薹や垣結ふ縄のひとまろげ,Стебель белокопытника — \и клубок верёвки \для плетения забора
Сочини хайку о земле,蕗の薹岩間の土にひきしまる,Стебель белокопытника — \и земля меж камней \уплотняется
Напиши хайку о поэзии,蕗のとうほうけて人の詠いかな,Стебель белокопытника \продаётся — \и люди слагают песни
Создай хайку о воде,京菜洗ふ青き冷たさ歌うたふ,Мою киотскую капусту — \и синяя прохлада \заставляет петь
Сочини хайку о старости,早春や老の血となるはうれん草,Ранняя весна — \и шпинат становится \кровью старости
Напиши хайку о цвете,あを／＼と菠薐草の雪間かな,Сине-зелёный \шпинат — \и просветы в снегу
Создай хайку о таянии,春雪の忽ち溶けぬ水菜畑,Весенний снег \внезапно тает — \поле мидзуны
Сочини хайку о пробуждении,むつくりと覚る京の水菜哉,Внезапно \просыпаюсь — \киотская мидзуна
Напиши хайку о празднике,獺の祭見て来よ瀬田のおく,Праздник выдры — \сходи посмотреть \в глубины Сэты
Создай хайку о море,青海苔や石の窪みのわすれ汐,Морская водоросль — \и в углублении камня \забытая морская вода
Сочини хайку о вкусе,行く水や何にとゞまるのりの味,Уходящая вода — \и что остаётся \во вкусе нори
Напиши хайку о реке,棹突きし其処も青海苔隅田川,Толкал шестом — \и там тоже морская водоросль \река Сумида
Создай хайку о возрасте,衰ひや歯に喰ひあてし海苔の砂,"Старость — \и песок нори, \попавший на зуб"
Сочини хайку о раковинах,わりなしや海苔に纏めるうつせ貝,Невыносимо — \завёрнутые в нори \ракушки уцусэ
Напиши хайку о свете,青海苔や水にさしこむ日の光,Морская водоросль — \и в воду вонзается \солнечный свет
Создай хайку о облаках,海苔舟に花の雲あり紀三井寺,Лодка с нори — \и цветочные облака \в Кимиидэра
Сочини хайку о порядке,茶器どもを獺の祭の並べ方,Чайные чашки \расставлены \как на празднике выдры
Напиши хайку о течении,春寒し一朶の海苔は流れ行く,Весенний холод — \и один пучок водорослей \уплывает
Создай хайку о завершении,獺の祭すむとき雨はるゝ,Праздник выдры \заканчивается — \и дождь проясняется
Напиши хайку о пути,道ばたの義経神社蕗の薹,У дороги \святилище Ёсицунэ — \и стебли белокопытника
Создай хайку о встрече,尼寺に小句会あり鳴雪忌,В женском монастыре \собрание хайку — \годовщина Мэйсэцу
Сочини хайку о памяти,鳴雪忌湯婆の一句妻も知る,Годовщина Мэйсэцу — \и одно хайку о грелке \жена тоже знает
Напиши хайку о различиях,二もとの梅に遅速を愛すかな,Две сливы — \и люблю разницу \в их спелости
Создай хайку о тепле,むめ一輪一りんほどのあたゝかさ,Одна слива — \и ровно на один цветок \теплоты
Сочини хайку о возвращении,馬の子の家にかへるや梅寒し,Жеребёнок \возвращается домой — \и слива в холоде
Напиши хайку об огне,しん／＼と梅散りかかる庭火かな,Тихо-тихо \слива осыпается — \огонь в саду
Создай хайку о простоте,梅若菜まりこの宿のとろゝ汁,Слива и ростки — \в гостинице Марико \суп-пюре
Сочини хайку о современности,子規知らぬコカコーラ飲む鳴雪忌,"Не зная Соки, \пью Кока-Колу — \годовщина Мэйсэцу"
Напиши хайку о браке,銀婚の式はせずとも軒の梅,Даже без церемонии \серебряной свадьбы — \слива под карнизом
Создай хайку о чистоте,梅挿してマリアの白は奥深し,Поставил сливу — \и белизна Марии \такая глубокая
Сочини хайку о контрастах,百姓の煙草は臭し梅の花,Табак крестьянина \воняет — \и цветы сливы
Напиши хайку о детях,小僧皆士の子や梅の寺,Все мальчишки — \дети самураев \в сливовом храме
Создай хайку о традиции,御秘蔵に墨を摺らせて梅見哉,Любимые тушечницы \заставляю растирать тушь — \любование сливой
Сочини хайку о соседях,垣越に梅折る人や明屋敷,Через забор \ломают сливу — \и светлый дом
Напиши хайку о храме,藪尻の賽銭箱や梅の花,Ящик для пожертвований \в глубине зарослей — \и цветы сливы
Создай хайку о возрасте,臥龍梅磴は畳みに畳みたる,Лежачая драконова слива — \и ступени \сложены в складки
Сочини хайку о земле,たゞよへる梅のにほひの土の上,Блуждающий \аромат сливы — \на земле
Напиши хайку о музыке,梅ひらく羅宇屋の笛の二タ音色,Слива распускается — \и у продавца трубок \два звука флейты
Создай хайку об одиночестве,我れ去れば水も寂しや谷の梅,Уйду я — \и воде станет одиноко \слива в долине
Напиши хайку о подсчете,盆梅のしだれし枝の数へられ,Слива в горшке — \и свисающие ветви \пересчитаны
Создай хайку о бутонах,盆梅の枝みな立ちて蕾かな,Слива в горшке — \и все ветви торчат \с бутонами
Сочини хайку о надежде,黄梅に佇ちては恃む明日の日を,У жёлтой сливы \стою и уповаю \на завтрашний день
Напиши хайку о нежности,うすきうсуきうす紅梅によりそひぬ,К тонкой-тонкой \светло-розовой сливе \прильнул
Создай хайку о свете,盆梅の咲きそむ室に朝日満つ,Слива в горшке \начинает цвести — \и комната полна утренним солнцем
Сочини хайку о любви,紅梅や見ぬ恋つくる玉すだれ,Красная слива — \и невидимая любовь \рождается в бамбуковой шторке
Напиши хайку о старости,梅見婆はしよれる裾の派手模様,"Старуха, любующаяся сливой — \и подол \в ярком узоре"
Создай хайку о пространстве,紅梅や枝々は空奪ひあひ,Красная слива — \и ветви \отнимают друг у друга небо
Сочини хайку о простоте,さむしろを畠に敷て梅見かな,Рогожку \на поле постелил — \и любуюсь сливой
Напиши хайку о земле,鶯や下駄の歯につく小田の土,Соловей — \и на зубец гэты \налипает полевая земля
Создай хайку о движении,鶯の身を逆にはつねかな,Соловей \тело вывернул — \и ущипнул
Сочини хайку о скромности,鶯や茶袋かゝる庵の垣,Соловей — \и чайный пакетик \на заборе хижины
Напиши хайку о утре,うぐひすの今朝たく柴にとまりけり,"Соловей \на дровах, что сегодня нарубил, — \сидит"
Создай хайку о встрече,この里の通りすがりの初音こそ,В этой деревне \прохожий — \и первый голос соловья
Сочини хайку о звуке,鶯にサイレンの音ひろがり来,Соловью \вторит звук сирены — \расширяясь
Напиши хайку о толпе,鶯の逃げあちこちに人立てり,Соловей \улетает — и люди стоят \там и сям
Создай хайку о луне,うぐひすや茶の木畑の朝月夜,Соловей — \и чайная плантация \при утренней луне
Сочини хайку о расстоянии,鶯に終日遠し畑の人,Соловей — \и весь день далёк \человек в поле
Напиши хайку о лесе,黄梅や白雲杉にこぞる迫,Жёлтая слива — \и белые облака \теснятся в елях
Создай хайку о деревне,鍬の柄に鶯鳴くや小梅村,На рукоятке мотыги \соловей поёт — \деревня Комэ
Напиши хайку о травах,春草は足の短き犬に萌ゆ,Весенние травы — \и для коротконогой собаки \зеленеют
Создай хайку о земле,下萌や土の裂目の物の色,Пробивается зелень — \и в трещинах земли \цвет вещей
Сочини хайку о городе,街の音とぎれる間あり下萌ゆる,Городской шум \прерывается — \и зелень пробивается
Напиши хайку о начале,下萌ゆと思ひそめたる一日かな,«Зелень пробивается» — \подумал я \в первый день
Создай хайку о памяти,草萌ゆる方へ亡き母亡き子連れ,"К тому месту, где зелень пробивается, \покойную мать \и покойного ребёнка веду"
Сочини хайку о камнях,石畳つぎ目つぎ目や草青む,Каменная мостовая — \и шов за швом \трава зеленеет
Напиши хайку о детях,歩く子に両手さし出す犬ふぐり,Идущему ребёнку \обе руки протягиваю — \собачий шарик
Создай хайку о движении,いぬふぐり囁く足をあとしざり,Собачий шарик — \шепчущие ноги \пятится назад
Сочини хайку о ноше,犬ふぐり弁当に鞄かさばりて,Собачий шарик — \и ланч с портфелем \громоздкие
Напиши хайку о времени,富士に傍て三月七日八日かな,"Рядом с Фудзи \третий месяц, седьмой \и восьмой день"
Создай хайку о лице,何となくそのきさらぎの前のかほ,Без всякой причины \в начале второго месяца \то лицо
Сочини хайку о глазах,磯竈より大勢の眼に見らる,С берегового очага \множество глаз \смотрят на меня
Напиши хайку о море,草の戸や二見のわかめもらひけり,Дверь из травы — \и водоросли из Футами \получил
Создай хайку о цвете,御供にも色あるけふの菜種かな,Для подношения \тоже цвет есть — \рапс сегодня
Сочини хайку о почитании,梅寒し祀る鎌倉右大臣,Слива в холоде — \почитаемый \министр из Камакуры
Напиши хайку о здоровье,二日灸花見る命大事也,Прижигание мохой — \и любование цветами \жизнь важна
Создай хайку о любви,この町を愛せば駅の土手青む,Если полюбишь \этот город — \склон у станции зеленеет
Сочини хайку о возвращении,此花踊の帰り稲荷の花見人,"Танец Конохана — \и возвращаясь, \люди смотрят на цветы у Инари"
Напиши хайку о девушках,桃柳くばりありくや女の子,Персики и ивы \раздаёт — \девушка
